N-gram turi;N-gram;Chastota
Unigram;ketdi;7
Unigram;dedimu;7
Unigram;qaramay;7
Unigram;chaqirib;7
Unigram;ularning;7
Unigram;ular;7
Unigram;edik;7
Unigram;qolimdan;7
Unigram;sen;7
Unigram;kozlarimni;7
Unigram;ozdan;7
Unigram;mujgonga;7
Unigram;kecha;7
Unigram;qoldim;7
Unigram;bugun;7
Unigram;uzuk;7
Unigram;va;6
Unigram;bilib;6
Unigram;tushgan;6
Unigram;yubordi;6
Unigram;bosh;6
Unigram;nachora;6
Unigram;bolar;6
Unigram;yonida;6
Unigram;bolamning;6
Unigram;tushdi;6
Unigram;xil;6
Unigram;yil;6
Unigram;qochib;6
Unigram;aytgan;6
Unigram;sochlarimni;6
Unigram;nozik;6
Unigram;birov;6
Unigram;sekinsekin;6
Unigram;buning;6
Unigram;kattakon;6
Unigram;mishel;6
Unigram;xudo;6
Unigram;bolani;6
Unigram;kabi;6
Unigram;sozlar;6
Unigram;yoki;6
Unigram;orqamga;6
Unigram;darajada;6
Unigram;kishi;6
Unigram;teztez;6
Unigram;dam;6
Unigram;oysha;6
Unigram;bolmasa;6
Unigram;kotarib;6
Unigram;yugurib;6
Unigram;qancha;6
Unigram;yolgiz;6
Unigram;sezib;6
Unigram;oldi;6
Unigram;baliqchi;6
Unigram;soradi;6
Unigram;gaplashib;6
Unigram;berdim;6
Unigram;it;6
Unigram;hayda;6
Unigram;xola;6
Unigram;qaysi;5
Unigram;kichkina;5
Unigram;bersin;5
Unigram;odamlar;5
Unigram;ish;5
Unigram;biladi;5
Unigram;bular;5
Unigram;qildim;5
Unigram;qilish;5
Unigram;chiqdi;5
Unigram;kichik;5
Unigram;narsalar;5
Unigram;sizga;5
Unigram;yuzimga;5
Unigram;boyiga;5
Unigram;nihoyatda;5
Unigram;baxtiyor;5
Unigram;yuziga;5
Unigram;ochib;5
Unigram;narsadan;5
Unigram;tilimni;5
Unigram;ajoyib;5
Unigram;orqaga;5
Unigram;tashlab;5
Unigram;ustiga;5
Unigram;tovush;5
Unigram;kordim;5
Unigram;qollari;5
Unigram;xop;5
Unigram;shuning;5
Unigram;beri;5
Unigram;ketardi;5
Unigram;qiladi;5
Unigram;sozini;5
Unigram;olar;5
Unigram;birdaniga;5
Unigram;his;5
Unigram;ozi;5
Unigram;yuragim;5
Unigram;shuncha;5
Unigram;baxtli;5
Unigram;najmiya;5
Unigram;xonim;5
Unigram;marta;5
Unigram;ichida;5
Unigram;qanchalik;5
Unigram;dengizga;5
Unigram;odamning;5
Unigram;ketdik;5
Unigram;oxshagan;5
Unigram;tosh;5
Unigram;ketib;5
Unigram;qilgan;5
Unigram;qilma;5
Unigram;kuldi;5
Unigram;xuddi;5
Unigram;daraxtlar;5
Unigram;bitirib;5
Unigram;urib;5
Unigram;ketgan;5
Unigram;bolalarni;5
Unigram;jahl;5
Unigram;mehmonga;5
Unigram;ropara;5
Unigram;ketar;5
Unigram;yoniga;5
Unigram;arqon;5
Unigram;soz;4
Unigram;ogzimga;4
Unigram;bularni;4
Unigram;suv;4
Unigram;butunlay;4
Unigram;alfozda;4
Unigram;bolganda;4
Unigram;mutlaqo;4
Unigram;begona;4
Unigram;eshikni;4
Unigram;kelar;4
Unigram;qolini;4
Unigram;birbiriga;4
Unigram;konfetlar;4
Unigram;hamki;4
Unigram;tortar;4
Unigram;konfet;4
Unigram;qilay;4
Unigram;emasmi;4
Unigram;yigit;4
Unigram;qizga;4
Unigram;pushaymon;4
Unigram;qaradim;4
Unigram;narsalarni;4
Unigram;masalan;4
Unigram;mana;4
Unigram;ming;4
Unigram;konfetni;4
Unigram;silab;4
Unigram;shuni;4
Unigram;ber;4
Unigram;shoshib;4
Unigram;bunaqa;4
Unigram;qoydim;4
Unigram;sorab;4
Unigram;birining;4
Unigram;eshik;4
Unigram;ikkalamiz;4
Unigram;berdi;4
Unigram;bas;4
Unigram;qolibdi;4
Unigram;komronga;4
Unigram;bilaman;4
Unigram;qaydam;4
Unigram;qaerdan;4
Unigram;tutib;4
Unigram;titroq;4
Unigram;ichiga;4
Unigram;odamni;4
Unigram;butun;4
Unigram;ogzini;4
Unigram;sening;4
Unigram;zorlik;4
Unigram;kelganda;4
Unigram;ochadigan;4
Unigram;bolmaydigan;4
Unigram;biri;4
Unigram;oxshab;4
Unigram;boshimga;4
Unigram;soradim;4
Unigram;pochcham;4
Unigram;opam;4
Unigram;tamom;4
Unigram;qarshi;4
Unigram;istambulga;4
Unigram;basima;4
Unigram;erning;4
Unigram;mujgonni;4
Unigram;bolishini;4
Unigram;boyidagi;4
Unigram;boyi;4
Unigram;boyida;4
Unigram;xayriyatki;4
Unigram;echib;4
Unigram;suvga;4
Unigram;jinni;4
Unigram;yalang;4
Unigram;yoqotib;4
Unigram;bosib;4
Unigram;chol;4
Unigram;marika;4
Unigram;yuribdi;4
Unigram;kechqurun;4
Unigram;yonimizdan;4
Unigram;orqasidan;4
Unigram;deding;4
Unigram;ochilib;4
Unigram;otgan;4
Unigram;aytib;4
Unigram;mahal;4
Unigram;mujgondan;4
Unigram;undan;4
Unigram;ertalab;4
Unigram;ikkovimiz;4
Unigram;qiziq;4
Unigram;hayajon;4
Unigram;bolmaydi;4
Unigram;boshini;4
Unigram;daraxt;4
Unigram;orasira;4
Unigram;hamma;4
Unigram;picha;4
Unigram;qizim;4
Unigram;argimchoqqa;4
Unigram;tezroq;4
Unigram;qorqmaymiz;4
Unigram;xolamning;4
Unigram;mehmonning;3
Unigram;korgani;3
Unigram;qoydi;3
Unigram;bolgani;3
Unigram;sariq;3
Unigram;qizil;3
Unigram;dugonalarim;3
Unigram;kongil;3
Unigram;hatto;3
Unigram;kozim;3
Unigram;oyna;3
Unigram;dahliz;3
Unigram;ichkariga;3
Unigram;balki;3
Unigram;mumkin;3
Unigram;tushundim;3
Unigram;chora;3
Unigram;qolmagan;3
Unigram;uzun;3
Unigram;shunda;3
Unigram;haqqi;3
Unigram;qolsa;3
Unigram;ularni;3
Unigram;yuragi;3
Unigram;oylayman;3
Unigram;yasama;3
Unigram;qilinadigan;3
Unigram;rasmli;3
Unigram;sira;3
Unigram;odamlarga;3
Unigram;on;3
Unigram;sal;3
Unigram;sorash;3
Unigram;chunki;3
Unigram;oynay;3
Unigram;tomosha;3
Unigram;qara;3
Unigram;oldin;3
Unigram;ozing;3
Unigram;bolsang;3
Unigram;nimalar;3
Unigram;sizning;3
Unigram;shekilli;3
Unigram;tikilib;3
Unigram;tutolmay;3
Unigram;narsani;3
Unigram;qilaman;3
Unigram;xohlamayman;3
Unigram;eshitildi;3
Unigram;turdim;3
Unigram;orqasida;3
Unigram;sezilib;3
Unigram;bolamga;3
Unigram;soldim;3
Unigram;nimalarni;3
Unigram;ochiq;3
Unigram;qoladi;3
Unigram;orasiga;3
Unigram;turkcha;3
Unigram;ovoz;3
Unigram;esimdan;3
Unigram;chorbogda;3
Unigram;osgan;3
Unigram;hayron;3
Unigram;koramanki;3
Unigram;nimasi;3
Unigram;bechoraning;3
Unigram;koraman;3
Unigram;ogiz;3
Unigram;sevgi;3
Unigram;uyga;3
Unigram;bolaga;3
Unigram;suvenir;3
Unigram;ornida;3
Unigram;kelardi;3
Unigram;aksiga;3
Unigram;borardi;3
Unigram;bolardi;3
Unigram;qollarini;3
Unigram;tashqariga;3
Unigram;orqamdan;3
Unigram;boynimga;3
Unigram;toxtadim;3
Unigram;qaytib;3
Unigram;qari;3
Unigram;ot;3
Unigram;boqqa;3
Unigram;esam;3
Unigram;maktabga;3
Unigram;shunchalik;3
Unigram;desam;3
Unigram;rosa;3
Unigram;tez;3
Unigram;qizarib;3
Unigram;ogzingdan;3
Unigram;ornimdan;3
Unigram;kundan;3
Unigram;bogda;3
Unigram;yuboradigan;3
Unigram;boldim;3
Unigram;olish;3
Unigram;chidab;3
Unigram;birida;3
Unigram;xat;3
Unigram;ketayotgan;3
Unigram;kuchukchani;3
Unigram;yubordim;3
Unigram;eridan;3
Unigram;oxshaydi;3
Unigram;gal;3
Unigram;zora;3
Unigram;xotima;3
Unigram;voy;3
Unigram;atrofida;3
Unigram;yoz;3
Unigram;chiqdim;3
Unigram;aziz;3
Unigram;xolamga;3
Unigram;mendan;3
Unigram;uch;3
Unigram;parvo;3
Unigram;ogir;3
Unigram;bazan;3
Unigram;ketsa;3
Unigram;bolmagan;3
Unigram;qilishardi;3
Unigram;joy;3
Unigram;olsam;3
Unigram;qizlar;3
Unigram;rozi;3
Unigram;jiddiy;3
Unigram;menda;3
Unigram;sokin;3
Unigram;chiqarib;3
Unigram;ikkimiz;3
Unigram;burunga;3
Unigram;oyoq;3
Unigram;koramiz;3
Unigram;qoyvor;3
Unigram;olamiz;3
Unigram;yumib;3
Unigram;betlamay;3
Unigram;deng;3
Unigram;tortib;3
Unigram;qoyilgan;3
Unigram;otirgan;3
Unigram;boladimi;3
Unigram;qisib;3
Unigram;ahvolda;3
Unigram;dengizning;3
Unigram;baliq;3
Unigram;sayr;3
Unigram;ofitser;3
Unigram;orqasiga;3
Unigram;emasmanku;3
Unigram;orasidan;3
Unigram;betimga;3
Unigram;oladigan;3
Unigram;ota;3
Unigram;kirishdim;3
Unigram;hojati;3
Unigram;tashladim;3
Unigram;astasekin;3
Unigram;bordi;3
Unigram;ozini;3
Unigram;titrab;3
Unigram;shundan;3
Unigram;yomon;3
Unigram;negadir;3
Unigram;yoqqa;3
Unigram;tong;3
Unigram;ichimda;3
Unigram;silar;3
Unigram;yaqin;3
Unigram;uxlab;3
Unigram;chorbog;3
Unigram;otga;3
Unigram;qila;3
Unigram;qolidan;3
Unigram;darrov;3
Unigram;kishiga;3
Unigram;oqshom;3
Unigram;uncha;3
Unigram;uzoq;3
Unigram;orqada;3
Unigram;chang;3
Unigram;maymunjonlar;3
Unigram;boshiga;3
Unigram;erkak;3
Unigram;ulardan;3
Unigram;qolimni;3
Unigram;qolishdi;3
Unigram;a;3
Unigram;yot;3
Unigram;davom;3
Unigram;kimga;3
Unigram;ohangda;3
Unigram;el;3
Unigram;betimni;3
Unigram;aravaga;3
Unigram;zina;3
Unigram;erimni;3
Unigram;eski;3
Unigram;yangi;3
Unigram;tor;3
Unigram;axir;3
Unigram;ogirib;3
Unigram;hol;3
Unigram;qoldirib;3
Unigram;baliqchining;3
Unigram;shayton;3
Unigram;er;3
Unigram;bolaman;3
Unigram;itni;3
Unigram;qoyar;3
Unigram;qoli;3
Unigram;aylanay;3
Unigram;chetga;3
Unigram;ojarlik;3
Unigram;tizzalarim;3
Unigram;yiqilib;3
Unigram;bolalik;3
Unigram;taqib;3
Unigram;qoy;2
Unigram;chiq;2
Unigram;qiyofada;2
Unigram;qilayotganday;2
Unigram;solish;2
Unigram;yoga;2
Unigram;kozida;2
Unigram;bergan;2
Unigram;qizman;2
Unigram;beshbattar;2
Unigram;bolardim;2
Unigram;qilayki;2
Unigram;jadal;2
Unigram;oqday;2
Unigram;otilib;2
Unigram;deraza;2
Unigram;olishib;2
Unigram;toza;2
Unigram;qolimning;2
Unigram;rasvo;2
Unigram;qoyishim;2
Unigram;stol;2
Unigram;ustida;2
Unigram;zar;2
Unigram;paketlarga;2
Unigram;ekanligini;2
Unigram;ostiga;2
Unigram;qora;2
Unigram;esdan;2
Unigram;qator;2
Unigram;yuborib;2
Unigram;komronbey;2
Unigram;afandim;2
Unigram;xohlasa;2
Unigram;oshalarning;2
Unigram;ajab;2
Unigram;ogzida;2
Unigram;qutichani;2
Unigram;ikkita;2
Unigram;kitob;2
Unigram;hadya;2
Unigram;sabab;2
Unigram;kelishi;2
Unigram;tazirini;2
Unigram;berib;2
Unigram;hayronman;2
Unigram;lablarimga;2
Unigram;yarashmagan;2
Unigram;hammasi;2
Unigram;ijozat;2
Unigram;qilsam;2
Unigram;edingiz;2
Unigram;xudoga;2
Unigram;shukur;2
Unigram;turibman;2
Unigram;hayrat;2
Unigram;anglamadim;2
Unigram;holda;2
Unigram;besh;2
Unigram;loyiq;2
Unigram;qarardi;2
Unigram;elkalarimni;2
Unigram;qisdim;2
Unigram;lablarimni;2
Unigram;demoqchi;2
Unigram;bolganimni;2
Unigram;asabiy;2
Unigram;ikkinchi;2
Unigram;ipini;2
Unigram;muomala;2
Unigram;kitobchalar;2
Unigram;sizdan;2
Unigram;oylamayman;2
Unigram;emasligini;2
Unigram;korsatdi;2
Unigram;keltirgan;2
Unigram;sozlari;2
Unigram;hazil;2
Unigram;oldimda;2
Unigram;yoqib;2
Unigram;berishga;2
Unigram;majbur;2
Unigram;kishiday;2
Unigram;chuqur;2
Unigram;rolini;2
Unigram;kozlarimga;2
Unigram;harakati;2
Unigram;silkib;2
Unigram;biram;2
Unigram;xullasi;2
Unigram;rahmat;2
Unigram;gapini;2
Unigram;eshitmay;2
Unigram;tirriq;2
Unigram;bolganga;2
Unigram;tin;2
Unigram;keladigan;2
Unigram;ozimcha;2
Unigram;tagin;2
Unigram;etdi;2
Unigram;esang;2
Unigram;afsus;2
Unigram;shirin;2
Unigram;innaykeyin;2
Unigram;jonim;2
Unigram;konfetning;2
Unigram;uzatdi;2
Unigram;bera;2
Unigram;xato;2
Unigram;ogziga;2
Unigram;kelmadi;2
Unigram;oylanib;2
Unigram;chiqardim;2
Unigram;tilim;2
Unigram;sari;2
Unigram;bolmagani;2
Unigram;kula;2
Unigram;organib;2
Unigram;aralash;2
Unigram;irgitdi;2
Unigram;ortamizda;2
Unigram;ularga;2
Unigram;salom;2
Unigram;chiqishga;2
Unigram;yonidagi;2
Unigram;sharpa;2
Unigram;maktab;2
Unigram;eshigi;2
Unigram;ochilgan;2
Unigram;farq;2
Unigram;eshikka;2
Unigram;razm;2
Unigram;soyasi;2
Unigram;darhol;2
Unigram;sirga;2
Unigram;murabbiyaga;2
Unigram;soya;2
Unigram;tagidagi;2
Unigram;qoygan;2
Unigram;bizdan;2
Unigram;boshqacha;2
Unigram;sirni;2
Unigram;tushunib;2
Unigram;yolakda;2
Unigram;qorquv;2
Unigram;yolini;2
Unigram;boshlagan;2
Unigram;bilmas;2
Unigram;ishqilib;2
Unigram;harakatiga;2
Unigram;nevarasi;2
Unigram;enaganing;2
Unigram;nimani;2
Unigram;isbot;2
Unigram;tutgan;2
Unigram;boynimni;2
Unigram;bukib;2
Unigram;aytdim;2
Unigram;koz;2
Unigram;bularning;2
Unigram;mabodo;2
Unigram;sozlarni;2
Unigram;topib;2
Unigram;naqadar;2
Unigram;dahshatli;2
Unigram;borligini;2
Unigram;odamdan;2
Unigram;ola;2
Unigram;qilolmagan;2
Unigram;sozlarimga;2
Unigram;shamol;2
Unigram;turadigan;2
Unigram;boyagi;2
Unigram;boyoqish;2
Unigram;chiqmadi;2
Unigram;yaxshiroq;2
Unigram;qollaridan;2
Unigram;ushladim;2
Unigram;aralashib;2
Unigram;rol;2
Unigram;parda;2
Unigram;oylardim;2
Unigram;keldim;2
Unigram;ustidan;2
Unigram;jazoingni;2
Unigram;sharmanda;2
Unigram;qaytish;2
Unigram;orniga;2
Unigram;chashma;2
Unigram;vujudimda;2
Unigram;olov;2
Unigram;borar;2
Unigram;ochilganda;2
Unigram;turdi;2
Unigram;epini;2
Unigram;deydi;2
Unigram;bolaning;2
Unigram;turibdi;2
Unigram;edimda;2
Unigram;korsatadi;2
Unigram;otam;2
Unigram;kishini;2
Unigram;yolgon;2
Unigram;qilasan;2
Unigram;qiziqtiradi;2
Unigram;masala;2
Unigram;borday;2
Unigram;hafta;2
Unigram;eshitib;2
Unigram;zinhor;2
Unigram;yolvora;2
Unigram;zaharli;2
Unigram;chayon;2
Unigram;dostlari;2
Unigram;orinsiz;2
Unigram;xolos;2
Unigram;tul;2
Unigram;orada;2
Unigram;turadi;2
Unigram;jon;2
Unigram;esimga;2
Unigram;deguncha;2
Unigram;yiglab;2
Unigram;otini;2
Unigram;kunlarining;2
Unigram;emish;2
Unigram;sekin;2
Unigram;haqida;2
Unigram;sozlarini;2
Unigram;gapga;2
Unigram;afandi;2
Unigram;yozgan;2
Unigram;narimon;2
Unigram;eri;2
Unigram;uchinchi;2
Unigram;quchogimga;2
Unigram;oldimu;2
Unigram;bog;2
Unigram;sayohatga;2
Unigram;uzoqqa;2
Unigram;shulardan;2
Unigram;taqirdogida;2
Unigram;hammasidan;2
Unigram;koproq;2
Unigram;oshani;2
Unigram;xunuk;2
Unigram;qilmayman;2
Unigram;bolishiga;2
Unigram;ornidan;2
Unigram;avvalgiday;2
Unigram;qilmay;2
Unigram;keladi;2
Unigram;bolasi;2
Unigram;birovni;2
Unigram;korish;2
Unigram;qolar;2
Unigram;faridani;2
Unigram;yozgi;2
Unigram;xafa;2
Unigram;bolamiz;2
Unigram;joyga;2
Unigram;hurmat;2
Unigram;zahmatini;2
Unigram;kunlarida;2
Unigram;demak;2
Unigram;imkoni;2
Unigram;sayohat;2
Unigram;qani;2
Unigram;qolimga;2
Unigram;xolalarim;2
Unigram;yolga;2
Unigram;tabimni;2
Unigram;sakson;2
Unigram;gaplashishga;2
Unigram;shunga;2
Unigram;zumda;2
Unigram;chorboqqa;2
Unigram;ayb;2
Unigram;ehtiyot;2
Unigram;aytganimda;2
Unigram;bahrimni;2
Unigram;tik;2
Unigram;xavfli;2
Unigram;hisoblab;2
Unigram;qoymay;2
Unigram;soatlar;2
Unigram;yotar;2
Unigram;korinardi;2
Unigram;yuragini;2
Unigram;qolardi;2
Unigram;qilamiz;2
Unigram;olay;2
Unigram;otkazib;2
Unigram;kuchi;2
Unigram;dast;2
Unigram;kotardim;2
Unigram;jinnilik;2
Unigram;yiqilamiz;2
Unigram;tursang;2
Unigram;qizning;2
Unigram;qorqib;2
Unigram;qarichlik;2
Unigram;esxonasi;2
Unigram;qildik;2
Unigram;kuldim;2
Unigram;baliqchilar;2
Unigram;qochish;2
Unigram;vahm;2
Unigram;niyatida;2
Unigram;aytilgan;2
Unigram;korindi;2
Unigram;turganimdan;2
Unigram;istambuldan;2
Unigram;bolganday;2
Unigram;behuda;2
Unigram;dedimda;2
Unigram;qorqoq;2
Unigram;voqea;2
Unigram;suvori;2
Unigram;ofitseri;2
Unigram;qoldik;2
Unigram;otiga;2
Unigram;qurib;2
Unigram;nuqul;2
Unigram;yurgan;2
Unigram;yolda;2
Unigram;toxtab;2
Unigram;qochirib;2
Unigram;qaradi;2
Unigram;demoqchisan;2
Unigram;bolish;2
Unigram;yuguradigan;2
Unigram;indamay;2
Unigram;ketardida;2
Unigram;kelmas;2
Unigram;uy;2
Unigram;chiqdik;2
Unigram;miyamdan;2
Unigram;konglim;2
Unigram;shapati;2
Unigram;bilasanmi;2
Unigram;chetiga;2
Unigram;erdan;2
Unigram;qolida;2
Unigram;zumgina;2
Unigram;yumalab;2
Unigram;oy;2
Unigram;charchab;2
Unigram;toshga;2
Unigram;otirdi;2
Unigram;aytishga;2
Unigram;shunchaki;2
Unigram;shoxlik;2
Unigram;narsalarim;2
Unigram;bori;2
Unigram;uchundir;2
Unigram;qochar;2
Unigram;goh;2
Unigram;quloq;2
Unigram;solib;2
Unigram;otirardi;2
Unigram;sozimni;2
Unigram;tirishar;2
Unigram;deyman;2
Unigram;xayringni;2
Unigram;sozingni;2
Unigram;qaytarib;2
Unigram;yuzxotir;2
Unigram;aldash;2
Unigram;kechasi;2
Unigram;uyqum;2
Unigram;ilingan;2
Unigram;otar;2
Unigram;boyniga;2
Unigram;battarroq;2
Unigram;bagriga;2
Unigram;yorishar;2
Unigram;jahli;2
Unigram;egib;2
Unigram;talashib;2
Unigram;saharga;2
Unigram;paytda;2
Unigram;eshitgan;2
Unigram;etmay;2
Unigram;erlik;2
Unigram;taklif;2
Unigram;topolon;2
Unigram;qur;2
Unigram;bilsam;2
Unigram;solar;2
Unigram;kozdan;2
Unigram;goyib;2
Unigram;boshi;2
Unigram;rosti;2
Unigram;ketding;2
Unigram;yuzi;2
Unigram;bol;2
Unigram;ishga;2
Unigram;payti;2
Unigram;yolning;2
Unigram;devorlar;2
Unigram;shoxlar;2
Unigram;kuz;2
Unigram;boshlangan;2
Unigram;yotgan;2
Unigram;yotibdi;2
Unigram;tomon;2
Unigram;orqadagilar;2
Unigram;ishimizni;2
Unigram;olingan;2
Unigram;qorqadi;2
Unigram;hujumiga;2
Unigram;qocha;2
Unigram;qorqa;2
Unigram;bolishsa;2
Unigram;unday;2
Unigram;dediyu;2
Unigram;aksincha;2
Unigram;turganini;2
Unigram;yuzmayuz;2
Unigram;kelganimizda;2
Unigram;tavba;2
Unigram;ozimizni;2
Unigram;ziyofat;2
Unigram;qollarim;2
Unigram;qalay;2
Unigram;mersi;2
Unigram;oshib;2
Unigram;xotin;2
Unigram;uchirib;2
Unigram;deyardi;2
Unigram;ortiq;2
Unigram;bolsin;2
Unigram;aytmasdan;2
Unigram;ketadi;2
Unigram;olguday;2
Unigram;kelyapti;2
Unigram;yotogimga;2
Unigram;yubordik;2
Unigram;chiroqni;2
Unigram;joyiga;2
Unigram;uchida;2
Unigram;kozlari;2
Unigram;nisbatan;2
Unigram;konglimda;2
Unigram;sayin;2
Unigram;qilar;2
Unigram;yaxshilab;2
Unigram;biriga;2
Unigram;orasidagi;2
Unigram;mayli;2
Unigram;odamlarim;2
Unigram;ishora;2
Unigram;havoda;2
Unigram;yomgir;2
Unigram;yuzini;2
Unigram;kochadan;2
Unigram;sezmadi;2
Unigram;kormagan;2
Unigram;kelayotganini;2
Unigram;qolmadi;2
Unigram;yuboradi;2
Unigram;kunlar;2
Unigram;badavlat;2
Unigram;kuyov;2
Unigram;baliqchiga;2
Unigram;labiga;2
Unigram;ushladi;2
Unigram;bolmasin;2
Unigram;faridaga;2
Unigram;minib;2
Unigram;qahqaha;2
Unigram;ishorasini;2
Unigram;gaplarni;2
Unigram;yoqtirmayman;2
Unigram;korgan;2
Unigram;turishdi;2
Unigram;ikkovi;2
Unigram;aytadigan;2
Unigram;nihoyat;2
Unigram;ogirilib;2
Unigram;yomoni;2
Unigram;qirgoqning;2
Unigram;boricha;2
Unigram;pastga;2
Unigram;shunisi;2
Unigram;borki;2
Unigram;dardim;2
Unigram;yoqday;2
Unigram;qutulib;2
Unigram;qoya;2
Unigram;tirmashib;2
Unigram;qirgoqqa;2
Unigram;olaman;2
Unigram;togrirogi;2
Unigram;oylab;2
Unigram;qichqirdim;2
Unigram;nimaga;2
Unigram;hansirar;2
Unigram;qoramoyni;2
Unigram;malum;2
Unigram;gunoh;2
Unigram;qilardim;2
Unigram;boshimdan;2
Unigram;boldiki;2
Unigram;oylaymanki;2
Unigram;gohi;2
Unigram;ortoqlarim;2
Unigram;oylagan;2
Unigram;ishni;2
Unigram;ucha;2
Unigram;tinmay;2
Unigram;argimchoqni;2
Unigram;kutib;2
Unigram;uchiring;2
Unigram;solmas;2
Unigram;uchar;2
Unigram;olmayman;2
Unigram;xola;2
Unigram;mayib;2
Unigram;olgur;2
Unigram;yonimda;2
Unigram;tezlat;2
Unigram;yaproqlari;2
Unigram;olsak;2
Unigram;dunyoda;2
Unigram;kozlariga;2
Unigram;kishining;2
Unigram;qochmas;2
Unigram;ekanman;2
Unigram;tizzalarimni;2
Unigram;boshim;2
Unigram;sochlari;2
Unigram;romolcha;2
Unigram;otkazdim;2
Unigram;qorqaman;2
Unigram;uyalaman;2
Unigram;ozozimga;2
Unigram;barmogimga;2
Unigram;yuzimni;2
Unigram;mazax;2
Unigram;fotiha;2
Unigram;chiqqani;2
Unigram;tort;2
Unigram;biror;2
Unigram;ozimga;2
Unigram;sababini;2
Unigram;songgi;2
Unigram;qaro;2
Unigram;aytilmaydi;2
Unigram;sozni;2
Unigram;tatilning;2
Unigram;latta;2
Unigram;boglab;2
Unigram;balo;2
Unigram;urindim;2
Unigram;xaritangni;1
Unigram;turaversin;1
Unigram;xaritalarniku;1
Unigram;joyida;1
Unigram;qoldiraman;1
Unigram;mehmonni;1
Unigram;chiqaman;1
Unigram;yonimdagi;1
Unigram;dugonam;1
Unigram;fartugining;1
Unigram;chontagidan;1
Unigram;oynakcha;1
Unigram;chiqardiyu;1
Unigram;ermak;1
Unigram;roparamga;1
Unigram;yuzim;1
Unigram;ogzimning;1
Unigram;ahvoliga;1
Unigram;maymunlar;1
Unigram;yiglaydi;1
Unigram;xat;1
Unigram;yozganda;1
Unigram;ruchkani;1
Unigram;odatim;1
Unigram;moyqalamni;1
Unigram;solibman;1
Unigram;lablarimda;1
Unigram;kok;1
Unigram;ranglar;1
Unigram;yolyol;1
